,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
2540,26.8,60.7,28.9,33.8,26.2,3.6,0.93,11.9,411
2541,41.2,93.0,24.2,44.3,33.9,12.6,2.09,5.3,732
2542,31.2,64.1,28.1,36.6,22.8,13.4,1.64,6.9,634
2543,25.7,58.7,15.9,19.2,21.9,6.3,1.03,10.3,301
2545,30.2,72.3,3.4,14.2,28.2,8.5,1.84,6.9,422
2546,39.7,59.7,51.4,60.1,23.1,16.7,1.94,3.9,484
2547,27.9,59.2,35.9,44.9,26.1,16.4,1.31,8.3,650
2548,28.4,57.0,5.6,11.4,23.9,4.4,0.96,11.3,370
2549,27.3,81.7,0.4,4.0,26.1,3.9,1.07,11.3,520
2551,23.0,45.5,11.1,17.6,26.9,3.5,1.17,14.5,410
2552,27.3,77.9,20.9,33.3,32.8,9.9,1.3,7.5,580
2553,27.0,78.6,1.8,6.3,19.4,5.1,1.0,13.0,202
2554,36.3,99.2,13.1,34.1,34.7,21.0,2.26,4.5,742
2555,36.6,83.6,7.4,19.4,18.4,14.7,1.48,9.1,707
2556,36.3,59.6,30.8,35.6,41.4,10.7,1.95,3.7,617
2557,29.2,58.3,18.1,21.8,16.9,5.3,0.98,16.0,219
2559,26.1,49.9,0.0,5.9,18.7,9.7,0.82,10.4,556
2560,24.4,71.5,12.0,19.0,20.3,3.0,0.91,13.0,473
2561,27.1,69.3,2.0,7.7,16.0,5.0,1.07,11.1,501
2562,22.5,68.2,2.7,11.3,20.6,6.1,0.95,10.8,530
2563,20.9,42.4,19.6,24.7,18.2,7.0,0.83,11.9,316
2564,31.5,70.3,19.9,38.8,21.8,6.3,1.95,6.3,707
2565,35.5,91.0,13.1,17.2,20.7,15.1,1.99,5.4,597
2566,27.8,72.7,9.9,16.5,16.8,7.2,1.13,11.6,589
2569,29.4,49.7,41.2,51.6,26.5,10.4,1.47,6.9,622
2570,30.3,78.9,5.2,8.6,12.5,6.6,0.78,11.0,403
2571,22.0,44.1,7.5,11.5,20.0,6.4,1.03,13.3,458
2572,27.4,51.0,7.0,16.8,26.9,4.6,1.55,11.6,436
2573,34.9,76.9,7.5,25.2,31.4,14.4,1.43,5.0,342
2574,26.3,58.2,10.2,24.6,23.1,9.0,1.5,6.0,345
2575,35.2,72.0,3.6,11.4,29.4,10.2,1.39,6.5,737
2577,24.4,76.8,10.1,21.3,29.1,18.0,2.17,6.8,464
2578,29.0,57.3,6.1,9.2,17.7,4.7,0.89,10.2,600
2579,34.7,68.8,35.1,59.4,22.7,10.3,2.33,2.6,816
2580,22.7,64.4,14.2,22.5,21.5,8.1,1.06,12.2,389
2581,31.4,69.8,20.4,32.0,16.3,9.7,1.49,8.0,643
2582,38.8,65.2,3.4,14.3,33.0,15.2,1.76,3.9,526
2583,29.5,60.8,9.6,25.0,28.5,5.9,1.58,12.1,386
2586,24.0,68.8,0.8,8.6,20.9,2.4,1.16,10.5,235
2588,25.6,77.7,34.1,39.8,18.2,2.6,1.24,10.4,380
2589,22.7,49.7,18.4,27.1,20.4,6.0,0.92,10.5,565
2591,29.1,63.6,12.3,21.1,32.0,5.1,1.53,7.4,542
2593,31.7,72.4,49.3,57.3,28.1,5.2,1.31,6.6,373
2594,34.0,60.0,28.4,38.5,26.8,14.4,2.1,3.7,391
2596,35.9,66.6,27.1,49.5,36.3,15.9,1.91,5.3,426
2597,17.4,45.8,26.6,33.0,22.0,7.3,0.97,10.8,451
2598,34.5,80.8,10.6,18.6,32.1,18.4,2.37,6.4,763
2599,24.7,56.3,2.0,5.5,13.9,4.1,0.89,12.2,510
2600,26.2,79.4,9.7,14.5,26.9,7.5,1.02,10.3,322
2601,20.8,62.7,19.4,25.8,19.5,5.8,1.11,10.4,458
2602,20.9,74.5,1.0,8.1,10.5,1.5,0.9,10.5,278
2603,28.4,63.8,2.8,9.7,17.6,6.2,0.91,16.5,578
2605,35.5,90.9,36.7,48.4,35.8,17.5,2.23,11.8,519
2606,20.5,52.8,7.7,12.0,14.0,7.8,1.1,10.6,320
2607,22.1,56.2,6.8,12.7,25.4,4.0,0.93,12.5,389
2608,21.2,40.0,2.3,6.1,15.1,6.4,1.04,15.8,481
2609,26.1,43.6,2.8,11.0,15.4,8.7,1.08,11.2,574
2610,30.4,103.6,17.5,40.4,24.1,-6.2,2.21,7.3,521
2611,25.5,83.5,11.1,26.3,30.5,14.6,2.27,3.7,698
2612,29.4,87.6,1.9,27.1,35.4,20.4,2.02,4.6,769
2613,22.0,72.9,20.9,25.6,13.4,6.3,1.02,10.9,544
2614,28.8,76.7,16.8,23.8,25.5,4.1,1.09,11.7,376
2615,26.2,67.3,10.2,19.3,20.8,9.9,1.66,6.4,419
2616,23.8,70.6,4.7,18.1,31.1,9.3,1.48,5.1,609
2619,24.2,47.1,27.7,31.7,19.4,4.5,0.94,10.6,493
2620,25.1,71.1,7.3,11.3,17.9,4.8,1.0,13.4,283
2621,27.3,73.7,13.8,28.4,27.5,16.4,1.4,7.3,293
2622,34.8,88.5,15.1,26.4,34.0,8.4,1.7,5.5,577
2624,32.3,52.4,24.4,30.9,27.7,6.5,0.95,10.7,436
2625,21.9,48.7,3.6,7.0,25.1,1.1,0.99,11.2,247
2626,19.7,39.9,2.0,6.8,28.4,7.6,1.14,10.2,347
2627,25.9,70.2,16.7,27.6,26.2,8.6,2.03,6.4,442
2628,32.2,66.6,8.3,19.7,23.5,13.2,1.08,5.6,382
2629,34.7,72.0,9.7,33.5,33.9,13.2,2.3,4.4,475
2630,26.7,51.8,1.3,7.9,22.3,5.0,0.97,12.8,296
2631,36.8,89.3,9.3,17.3,29.2,14.7,1.62,7.0,422
2632,26.2,70.8,6.5,12.7,19.0,2.6,1.01,12.2,263
2634,28.1,47.9,2.7,6.7,26.0,8.3,1.03,11.1,228
2635,24.5,56.2,24.6,29.6,13.5,4.3,0.93,11.5,364
2636,25.6,46.5,0.6,8.1,27.8,3.9,1.1,14.2,534
2637,34.7,97.6,6.1,19.6,23.1,19.6,2.12,6.4,596
2638,30.5,57.3,8.7,14.8,26.1,4.1,0.87,10.2,521
2639,23.5,55.1,6.0,11.8,16.6,6.6,1.04,10.8,421
2640,32.3,83.0,10.2,15.1,27.0,12.7,1.45,5.0,454
2641,29.9,107.5,33.5,52.1,27.7,17.6,2.42,3.4,592
2642,28.0,56.8,5.2,8.9,26.6,8.6,1.04,10.8,593
2643,29.0,90.6,24.2,30.3,31.4,9.4,1.38,6.8,303
2645,35.1,85.7,19.7,26.3,24.1,9.9,1.45,8.2,483
2646,23.4,68.0,5.5,10.6,25.5,2.0,1.09,12.0,471
2647,34.7,77.0,10.7,26.5,19.8,21.3,2.12,5.2,633
2648,17.0,47.4,10.1,16.5,24.7,2.7,1.02,11.0,555
2649,35.0,56.0,23.4,27.1,32.7,11.5,1.62,5.8,452
2650,25.1,50.6,1.0,4.6,21.6,6.2,1.1,10.1,388
2651,28.4,66.1,5.6,9.5,18.9,3.6,0.97,11.8,560
2652,26.6,40.2,3.8,5.8,14.9,1.3,0.88,10.1,341
2653,25.4,78.6,4.1,6.7,21.3,9.1,1.4,10.1,543
2654,27.9,56.7,0.7,6.0,14.5,5.9,1.1,12.9,275
2655,34.9,86.4,9.2,28.0,36.9,9.0,2.08,7.1,728
2656,42.6,92.1,2.9,12.8,34.5,12.0,2.06,6.8,562
2658,33.8,86.2,0.4,12.2,31.1,3.2,2.06,3.7,618
2659,25.7,70.3,0.7,5.4,14.0,10.0,0.91,11.1,374
2660,28.1,78.4,26.9,33.2,21.9,5.0,0.77,11.3,249
2661,24.2,41.9,2.4,6.5,17.9,6.8,0.88,10.1,500
2662,33.8,81.1,7.3,21.3,38.8,22.0,2.35,6.3,693
2663,23.7,73.3,4.7,19.0,23.0,8.4,1.4,5.5,668
2664,31.0,78.0,1.5,5.7,20.0,4.7,1.02,11.0,279
2665,19.4,62.0,13.7,20.1,15.0,5.5,1.11,13.6,475
2667,27.6,66.9,47.1,60.3,32.4,14.0,2.2,3.4,426
2668,24.9,46.1,3.2,10.4,16.9,4.1,0.94,11.9,242
2670,25.0,48.9,1.8,7.0,17.5,4.1,0.83,15.2,366
2671,24.0,70.5,1.1,4.1,19.1,7.1,1.03,10.3,584
2673,26.1,48.2,15.7,16.5,17.1,5.3,0.94,11.1,344
2674,34.8,54.9,13.2,18.9,20.1,11.0,1.63,5.3,385
2675,35.1,65.7,26.8,41.9,32.5,21.7,1.92,5.6,571
2676,25.5,68.2,20.4,23.5,13.9,3.2,0.96,10.3,486
2677,24.5,44.8,21.1,29.1,23.9,6.7,0.95,17.8,491
2679,24.5,78.6,19.2,25.8,13.5,3.1,0.93,11.7,468
2680,29.3,73.7,1.5,1.9,13.1,3.5,1.07,10.6,455
2681,29.5,69.6,17.5,26.1,12.0,4.8,1.14,13.7,531
2682,32.6,63.8,4.6,21.9,20.9,14.5,1.6,7.7,605
2683,39.4,69.0,7.3,27.6,36.2,4.2,2.19,7.1,428
2684,25.0,59.9,1.0,5.4,22.6,5.0,1.15,18.4,509
2685,31.9,93.9,32.7,44.6,38.8,16.7,2.52,3.4,564
2686,28.6,45.2,6.2,11.4,24.0,3.6,0.93,12.5,212
2688,33.5,79.9,6.8,17.6,33.0,18.3,1.78,6.3,545
2690,28.4,77.5,39.0,55.4,24.2,7.4,2.06,8.0,707
2691,26.3,62.6,1.1,9.1,15.1,8.7,1.08,12.4,531
2692,24.4,77.2,12.4,17.7,17.8,6.2,0.94,14.7,330
2693,29.9,57.9,7.3,9.9,22.6,3.8,1.05,10.1,227
2694,23.2,61.9,0.9,6.1,26.6,3.9,0.99,11.9,449
2696,22.9,80.0,12.1,18.3,23.8,2.5,1.09,12.8,189
2697,30.3,88.5,23.4,35.8,19.3,6.5,1.37,6.9,737
2698,25.8,68.6,18.1,26.0,25.7,5.7,0.81,10.2,351
2699,34.7,94.5,12.3,31.9,39.8,20.2,1.58,4.4,424
2700,28.8,75.2,8.8,15.5,25.4,7.3,1.26,8.7,580
2702,25.3,61.9,21.7,28.6,11.2,0.2,0.99,13.4,542
2703,26.1,51.8,2.7,4.5,18.1,4.9,0.94,10.2,277
2704,35.1,81.5,1.7,10.9,29.1,11.0,1.48,11.5,337
2705,26.0,39.5,0.3,9.2,23.1,8.1,0.96,10.5,243
2706,17.8,84.3,7.5,23.0,27.7,7.9,1.35,7.5,315
2707,45.6,98.3,28.0,43.8,32.1,14.9,2.18,3.2,680
2709,33.9,65.9,11.6,23.8,25.1,11.2,1.13,7.3,427
2710,25.3,55.4,7.3,13.2,18.5,3.3,0.89,17.1,214
2711,23.6,60.7,2.9,6.9,15.8,3.0,1.09,12.4,506
2712,35.8,90.0,9.0,27.5,37.6,17.1,2.02,4.6,644
2713,37.1,74.0,3.1,24.9,42.6,10.6,2.08,4.4,406
2714,29.7,77.9,1.4,16.2,37.0,11.2,2.52,5.6,430
2715,17.6,72.9,14.1,14.9,26.3,6.4,0.87,14.8,201
2716,20.3,44.4,1.7,11.6,18.2,3.4,1.16,14.3,407
2717,29.3,44.4,1.4,5.7,14.4,2.3,0.98,10.1,284
2718,36.3,88.7,13.5,25.7,29.9,6.7,2.02,4.8,739
2719,33.0,73.5,14.2,21.9,33.5,3.3,1.55,6.0,582
2720,26.8,76.2,48.1,54.3,24.5,4.6,1.58,7.5,451
2721,21.5,59.8,8.6,12.6,20.3,5.5,1.08,10.1,470
2722,31.1,52.6,23.6,27.8,26.9,4.3,1.56,6.6,416
2723,30.1,72.0,14.4,19.7,22.7,10.7,1.46,6.4,372
2724,37.5,64.7,3.5,18.5,25.1,15.9,1.7,7.2,399
2725,30.3,49.2,50.9,61.1,28.2,6.6,1.39,8.4,425
2726,41.4,93.0,30.7,45.3,40.3,12.5,1.63,4.2,600
2727,25.7,57.2,7.5,14.7,14.8,2.6,1.08,14.0,319
2728,24.1,68.0,2.6,4.7,25.2,8.5,1.18,11.3,580
2729,26.1,71.3,13.6,17.4,18.2,8.2,0.92,10.4,319
2730,29.2,61.8,7.6,10.4,26.9,4.4,0.95,10.1,517
2731,29.2,55.5,43.3,46.8,24.0,8.7,1.53,5.8,640
2732,27.8,83.6,23.7,37.3,26.1,8.2,1.22,7.4,420
2733,26.5,69.9,31.7,46.0,21.4,17.2,1.64,9.6,739
2734,26.4,74.5,23.1,25.7,15.3,5.8,1.03,10.2,239
2735,33.3,98.7,20.9,36.7,35.1,16.0,1.73,5.1,578
2737,27.8,75.4,8.9,20.8,33.6,4.1,1.31,5.5,626
2738,21.5,52.5,4.3,13.9,30.0,12.6,1.42,5.0,333
2739,26.3,64.6,0.6,5.1,14.2,3.4,0.98,10.3,189
2740,24.8,47.8,37.0,40.9,19.6,6.1,0.93,14.2,557
2741,25.3,49.4,19.5,32.0,24.9,7.2,1.73,5.8,426
2743,18.9,43.7,3.3,12.7,25.7,5.8,1.78,5.4,432
2744,38.8,90.8,12.6,20.3,29.3,8.3,1.57,6.9,630
2745,40.1,95.2,11.5,30.1,34.8,18.6,1.88,5.4,803
2746,21.7,51.6,7.1,9.7,21.9,2.7,0.96,10.2,247
2747,22.9,61.9,41.1,54.6,27.5,3.4,1.79,5.6,464
2748,32.0,50.1,22.7,41.3,22.5,15.1,1.62,8.6,660
2749,21.7,65.2,26.3,33.3,13.9,2.5,0.96,11.0,278
2751,23.0,41.1,24.8,28.1,18.7,3.4,0.94,10.3,379
2752,29.4,70.2,28.5,43.5,25.2,17.5,2.04,5.4,421
2753,24.7,73.9,8.1,16.0,26.4,5.1,0.98,11.0,352
2754,33.9,94.5,16.6,42.2,41.7,18.5,2.4,8.1,421
2755,26.5,67.6,18.4,29.0,40.0,12.3,2.17,4.1,598
2756,30.5,71.8,26.3,33.4,14.4,8.5,1.11,10.3,534
2758,30.9,87.1,17.6,32.2,42.7,19.2,1.88,7.6,511
2759,23.3,58.4,1.6,7.3,21.4,4.0,1.08,12.3,438
2760,28.1,76.8,25.4,39.5,15.9,11.1,1.46,5.5,354
2762,30.5,48.5,4.9,8.0,17.4,3.9,0.95,13.8,371
2763,24.9,83.7,12.1,20.4,30.8,7.6,1.3,7.6,516
2764,31.6,76.0,3.8,12.5,19.3,6.5,1.56,5.8,317
2766,26.3,59.4,3.9,7.0,18.1,7.7,1.05,10.3,526
2767,31.5,76.0,3.3,10.1,32.2,9.5,1.44,9.3,389
2768,24.2,42.1,1.7,7.3,14.0,8.2,1.13,10.3,258
2770,29.6,44.0,3.6,10.2,22.3,7.5,1.11,10.2,484
2771,33.4,63.9,6.2,10.6,35.0,15.7,1.84,5.2,471
2772,25.9,78.0,2.0,8.2,17.3,6.3,1.01,10.0,477
2773,26.4,61.8,41.4,52.3,23.2,2.3,1.74,5.3,499
2774,33.1,80.3,28.6,49.4,27.8,15.3,1.46,5.6,609
2775,21.4,49.2,5.4,12.6,20.1,4.1,1.08,14.5,351
2776,23.6,47.9,4.4,9.8,18.4,4.3,0.95,11.0,319
2777,30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217
2778,25.0,56.6,3.9,10.9,16.5,4.0,1.06,11.1,583
2779,18.0,44.7,18.5,22.8,21.2,9.6,0.99,16.0,470
2780,24.8,73.6,10.8,13.4,22.1,3.7,1.16,10.4,450
2782,42.9,80.5,3.8,7.1,24.0,9.4,1.3,6.6,553
2783,24.2,56.4,2.5,12.0,11.7,3.2,0.98,11.6,340
2784,33.0,68.5,2.3,13.4,31.0,12.8,1.34,5.9,620
2785,25.5,69.6,8.1,13.5,14.5,7.5,1.12,10.3,313
2786,35.1,69.4,3.0,3.7,34.9,17.7,1.66,6.6,632
2787,32.6,59.4,7.2,21.8,31.3,8.6,1.44,16.2,363
2788,29.2,65.3,5.7,17.2,33.5,17.0,1.54,5.6,295
2789,26.1,76.9,9.2,15.5,24.2,9.9,1.19,6.5,299
2790,23.0,69.6,12.6,18.1,25.6,6.1,1.24,10.2,521
2791,20.4,45.9,4.5,3.2,24.2,6.3,0.9,11.1,214
2793,40.0,71.3,0.5,4.4,14.5,16.1,1.41,5.1,318
2794,25.5,81.0,1.1,9.9,31.2,12.3,1.77,5.9,572
2795,28.2,63.8,2.4,7.5,20.9,6.8,0.83,10.6,317
2796,32.9,47.3,37.9,46.2,20.1,3.9,1.47,10.3,419
2797,29.8,73.1,4.7,12.9,23.1,12.2,1.44,5.9,682
2798,29.7,53.0,18.0,30.5,27.8,8.6,1.36,5.1,488
2799,36.2,80.6,13.9,22.0,28.7,13.3,1.56,7.5,483
2800,24.2,51.8,13.9,20.7,24.5,4.8,1.02,10.5,582
2801,33.7,91.2,17.2,29.0,25.1,12.0,1.43,6.3,505
2802,30.4,59.1,3.9,14.9,28.9,12.3,1.67,5.6,487
2803,24.8,57.8,8.8,10.5,15.3,4.6,1.05,12.4,430
2804,17.2,75.7,22.8,29.4,23.7,2.3,1.11,10.7,389
2805,28.2,71.4,9.2,25.5,34.0,6.2,2.35,3.2,594
2806,32.4,62.9,7.7,19.6,28.3,6.7,1.38,9.9,562
2807,25.4,54.5,4.0,9.8,14.8,6.6,1.02,11.0,480
2808,25.4,62.6,4.2,7.4,18.3,4.5,1.03,10.5,518
2809,20.5,71.3,4.6,9.7,19.5,7.4,1.07,11.4,298
2810,25.0,81.3,4.3,7.8,23.1,6.7,1.14,10.1,329
2811,29.8,76.4,3.5,8.2,22.1,4.9,0.93,11.5,284
2812,29.4,50.2,0.5,13.4,23.4,7.9,1.64,19.4,448
2813,32.2,58.7,5.0,15.0,33.9,7.3,1.64,6.8,516
2814,18.6,75.3,3.5,10.0,11.6,2.6,0.98,11.9,375
2816,21.9,52.7,7.3,13.7,26.9,5.8,1.16,12.2,232
2817,34.0,75.9,10.0,18.0,30.4,5.2,1.57,5.2,356
2818,24.1,72.6,15.9,18.3,14.8,4.3,1.15,12.5,317
2819,24.6,55.1,2.8,9.7,19.9,7.0,0.93,10.6,448
2820,25.8,89.6,3.6,6.3,18.1,10.7,1.59,7.9,467
2821,24.8,67.2,20.9,23.5,22.0,5.8,0.92,12.5,255
2822,35.4,81.5,4.6,17.8,37.6,11.7,1.9,3.6,488
2823,21.8,71.2,17.0,21.4,20.4,8.4,0.92,11.5,311
2824,24.2,59.3,5.4,7.7,28.5,4.2,0.99,12.2,569
2826,27.8,86.2,4.0,17.4,22.2,11.0,1.57,5.3,662
2827,33.8,72.1,3.7,18.3,29.7,6.8,1.16,5.9,625
2828,30.9,90.7,38.7,52.0,37.0,3.6,1.65,5.3,451
2829,24.9,74.3,12.8,15.1,19.2,7.2,0.96,10.3,496
2830,25.3,45.0,15.5,21.4,22.5,4.9,1.02,10.9,334
2831,30.9,57.8,15.3,28.1,26.5,10.6,1.35,5.1,380
2832,21.0,48.0,10.5,14.3,22.3,6.9,1.08,13.5,555
2833,29.3,50.0,31.7,36.7,33.8,8.5,1.46,5.3,642
2834,27.0,54.9,1.5,5.6,16.1,3.5,0.96,11.6,482
2835,37.8,77.8,7.1,22.8,32.2,6.8,1.59,5.3,399
2836,33.5,78.0,9.1,30.0,38.1,10.9,2.08,3.7,539
2838,29.0,51.2,7.6,16.0,30.6,15.2,1.48,5.8,660
2839,25.9,62.2,6.7,11.0,24.7,2.6,1.07,12.4,386
2841,24.3,61.4,16.6,22.3,13.5,3.7,1.04,10.2,226
2842,26.0,54.6,3.9,10.0,23.6,4.3,1.11,11.4,298
2843,29.4,53.6,5.6,15.9,28.9,8.5,1.61,8.9,384
2844,27.5,66.2,1.8,7.0,27.2,7.3,1.06,11.3,326
2845,23.1,64.3,3.9,18.3,29.5,13.8,1.5,8.3,444
2846,22.2,61.2,2.4,5.8,21.6,3.8,1.13,11.5,459
2847,34.9,69.9,10.7,17.5,23.0,12.0,1.28,6.9,720
2848,23.8,88.2,4.5,18.4,30.8,18.0,1.94,3.4,409
2849,26.8,79.8,15.1,33.0,28.6,14.6,1.56,4.2,367
2850,24.6,47.1,17.3,23.0,14.8,5.5,1.05,12.8,412
2852,26.0,72.8,3.4,10.2,25.1,-0.2,1.05,12.5,437
2853,22.1,53.1,4.0,9.9,19.3,6.0,1.03,10.1,292
2854,27.4,41.0,12.9,18.9,23.7,4.2,1.01,12.2,264
2856,36.6,69.9,46.0,59.1,46.1,6.6,1.84,3.6,649
2857,33.7,85.0,5.4,21.5,34.2,9.5,1.1,7.5,687
2858,20.5,47.4,1.4,6.6,17.7,6.6,1.08,13.2,427
2859,30.8,60.8,12.6,21.9,21.1,7.1,1.33,5.5,596
2860,36.8,60.0,10.1,30.6,27.6,8.9,1.73,3.7,762
2861,25.4,74.3,6.0,7.1,19.9,4.2,1.09,10.8,483
2862,32.9,84.6,4.3,1.9,29.8,3.9,1.87,4.0,723
2863,27.1,63.0,1.7,5.2,25.0,4.9,1.02,11.4,583
2864,28.1,69.0,0.5,2.8,19.5,6.9,1.06,11.8,491
2865,26.0,63.6,26.7,44.6,27.6,6.8,1.38,6.5,444
2866,26.3,60.5,10.0,18.9,24.6,3.7,0.97,10.1,459
2867,32.8,53.2,8.1,24.5,26.3,11.2,1.61,5.4,363
2869,32.2,103.1,31.8,39.9,34.3,7.3,1.58,4.9,402
2871,23.2,73.3,0.4,16.2,26.7,7.7,1.93,5.9,543
2872,30.5,76.0,30.7,48.8,25.3,3.3,1.56,7.3,721
2874,29.9,68.7,0.5,7.0,11.9,7.5,0.87,13.9,547
2875,28.9,48.7,12.1,18.5,20.3,6.4,1.03,10.0,499
2876,41.5,96.7,30.7,47.9,34.0,15.8,2.02,3.4,584
2877,38.9,66.7,49.1,54.0,26.6,16.7,2.39,5.3,758
2878,24.7,85.3,10.8,24.6,39.9,9.7,2.08,15.5,638
2880,25.0,67.9,37.7,41.8,28.7,3.5,1.59,5.1,477
2881,30.4,64.0,9.3,10.3,35.0,4.9,1.57,5.6,708
2882,25.7,51.5,27.7,30.9,15.1,6.7,1.02,12.0,360
2883,36.0,97.3,11.0,20.8,28.5,20.7,1.87,3.9,795
2885,26.3,45.3,5.8,14.0,18.3,2.8,0.96,12.2,411
2886,17.4,45.0,1.8,5.9,20.4,5.7,0.86,10.5,311
2888,30.7,80.4,5.4,12.4,24.5,12.9,1.22,5.3,639
2889,20.4,69.8,37.4,42.3,17.5,3.2,0.86,16.5,494
2892,21.8,77.8,4.0,9.1,15.5,8.4,0.98,11.5,273
2893,34.3,89.5,9.4,15.6,28.4,9.4,1.48,6.0,505
2894,32.2,76.4,0.0,10.3,24.0,11.0,1.49,5.9,347
2895,20.4,92.4,1.0,19.5,36.5,22.6,2.62,9.0,494
2896,27.7,76.8,5.8,13.6,24.4,4.5,0.92,11.3,544
2897,27.9,82.5,8.3,24.2,29.0,9.4,1.78,5.6,349
2898,26.1,54.2,15.8,21.1,15.3,5.2,0.98,10.0,427
2899,27.3,72.6,2.7,8.0,13.3,5.3,1.19,10.0,327
2900,23.7,67.3,10.3,17.7,24.6,2.6,1.01,15.8,488
2903,25.1,60.1,3.7,9.4,11.5,6.5,0.77,10.2,313
2904,23.1,57.1,1.0,6.9,22.8,5.6,0.94,12.0,535
2905,34.4,90.8,12.5,27.0,29.4,9.8,1.47,11.0,477
2907,24.5,61.3,1.7,5.2,22.3,4.8,0.97,10.8,548
2910,36.7,71.8,47.7,56.7,28.8,18.0,1.57,7.6,702
2912,29.8,80.8,10.4,14.9,17.1,-0.4,1.53,5.7,502
2913,28.8,74.7,30.4,35.4,22.5,5.4,1.91,6.1,482
2914,25.4,75.4,33.4,35.5,31.4,9.4,1.8,5.8,600
2915,29.9,63.3,3.8,16.0,24.2,7.9,1.42,8.9,710
2916,30.3,72.5,5.7,11.2,16.6,4.4,1.21,11.6,305
2917,22.7,68.4,3.2,7.7,15.6,7.1,1.05,10.2,409
2918,18.4,60.6,3.0,8.4,16.6,7.3,1.04,10.2,444
2919,23.6,68.7,8.3,13.7,19.7,4.1,0.95,11.2,255
2920,27.1,66.5,14.8,29.8,35.6,15.6,1.99,3.3,577
2922,30.4,60.1,0.9,14.1,27.2,12.1,1.26,5.6,641
2923,27.3,45.8,3.8,7.8,19.3,7.1,0.99,11.7,312
2924,43.3,62.8,8.0,21.7,31.1,10.2,2.51,4.7,429
2925,28.9,49.4,12.9,18.5,18.5,4.7,0.89,10.1,461
2927,36.5,81.6,6.1,19.4,29.0,20.5,1.92,4.2,690
2928,26.0,64.5,10.4,15.5,25.2,3.1,0.98,5.3,359
2929,38.2,82.1,8.4,26.5,24.6,7.4,2.6,5.2,696
2930,24.4,75.5,16.1,20.4,25.3,5.1,0.86,11.3,357
2931,29.2,45.9,1.9,10.9,29.4,5.5,1.1,6.1,647
2933,25.0,72.6,1.5,6.9,19.0,5.7,0.94,14.8,407
2934,22.0,51.9,5.5,9.8,15.0,7.3,0.88,12.0,601
2936,27.1,63.0,15.9,18.5,15.7,6.9,0.96,10.3,383
2937,30.8,55.6,15.0,22.3,22.0,15.9,1.64,6.1,451
2938,27.8,67.1,0.4,4.6,22.4,4.3,1.05,11.2,371
2939,30.7,64.6,7.9,23.1,30.7,19.0,1.39,16.6,399
2940,24.0,68.7,18.6,31.1,30.6,7.3,1.44,6.0,588
2941,25.3,75.6,2.8,5.9,23.8,6.4,1.12,10.1,299
2942,40.6,93.3,21.5,48.7,19.0,14.2,1.85,6.3,464
2943,34.4,65.1,48.4,58.5,29.6,7.8,1.27,7.1,435
2944,34.0,58.3,36.6,52.4,28.4,5.3,1.49,6.9,499
2945,28.5,49.4,1.0,5.9,16.6,5.6,0.93,10.6,328
2946,30.6,51.1,8.3,10.1,23.1,5.7,1.11,15.0,221
2947,30.0,89.0,9.2,30.2,29.7,17.5,1.83,8.2,428
2948,27.8,47.6,31.6,35.3,21.8,6.4,1.13,14.0,591
2949,21.0,44.0,2.6,8.8,25.2,5.7,0.95,17.2,488
2950,25.6,57.7,10.0,15.8,22.1,2.5,0.98,15.4,470
2951,23.8,67.9,15.3,19.2,25.0,5.1,0.97,10.0,366
2952,25.2,71.3,30.4,36.0,14.7,4.8,0.94,11.2,432
2953,35.2,71.8,12.2,25.7,28.0,7.1,1.27,7.8,327
2954,33.8,89.3,14.1,25.3,23.0,11.3,1.33,9.1,671
2955,25.5,47.4,9.5,8.9,25.2,5.9,1.24,10.6,404
2956,31.7,75.7,29.7,43.1,19.5,2.2,1.25,6.4,685
2958,31.2,93.7,6.3,10.9,19.0,14.2,1.51,7.1,344
2959,27.3,74.8,10.3,10.9,14.2,6.3,1.04,18.7,577
2960,26.1,46.8,7.8,14.1,24.9,4.6,1.03,13.5,603
2963,31.9,77.1,7.3,16.9,25.4,11.3,1.56,6.3,471
2964,25.0,45.7,0.1,3.6,14.3,7.9,1.03,10.7,316
2965,39.3,74.8,28.1,49.3,33.0,21.3,1.84,3.8,730
2966,27.6,51.2,7.0,14.8,19.6,6.1,0.98,18.2,315
2967,22.5,43.6,11.8,16.3,13.2,5.4,0.99,10.5,307
2968,22.8,65.3,6.6,13.3,14.7,6.7,1.03,11.3,318
2970,21.2,55.6,3.4,5.4,25.2,2.8,0.88,11.3,404
2971,27.2,82.5,18.7,37.1,32.5,14.5,1.96,4.5,544
2972,24.5,59.1,35.9,46.4,36.8,22.7,1.83,3.5,562
2973,30.2,48.6,6.9,15.8,19.7,9.4,1.57,5.2,598
2975,24.9,76.2,49.0,54.7,13.8,10.5,1.3,7.4,664
2976,28.7,58.3,32.9,45.6,26.7,13.6,1.6,7.3,352
2977,26.3,80.1,3.2,9.7,20.2,6.0,1.03,12.5,269
2978,20.6,63.5,14.1,23.5,30.0,8.3,1.54,6.1,646
2979,33.1,66.1,21.1,41.6,27.9,17.7,2.23,3.4,733
2981,34.0,83.1,10.5,25.8,22.6,5.7,1.28,5.4,522
2982,34.7,61.0,9.4,29.9,22.0,18.7,1.7,5.8,466
